layer_id,mean_hit_rate,std,p5,p95,num_transitions
0,0.953297,0.190102,0.250000,1.000000,109844
1,0.898305,0.214217,0.250000,1.000000,109844
2,0.849450,0.189112,0.375000,1.000000,109844
3,0.819192,0.188634,0.375000,1.000000,109844
4,0.776494,0.206294,0.375000,1.000000,109844
5,0.813542,0.201427,0.375000,1.000000,109844
6,0.727479,0.195996,0.375000,1.000000,109844
7,0.745795,0.168608,0.375000,1.000000,109844
8,0.809449,0.193734,0.375000,1.000000,109844
9,0.735536,0.160465,0.500000,1.000000,109844
10,0.717425,0.166636,0.375000,1.000000,109844
11,0.773299,0.165240,0.500000,1.000000,109844
12,0.752783,0.164702,0.375000,1.000000,109844
13,0.708580,0.169448,0.375000,0.875000,109844
14,0.695154,0.195720,0.250000,1.000000,109844
15,0.760796,0.169874,0.375000,1.000000,109844
16,0.771823,0.189807,0.375000,1.000000,109844
17,0.660851,0.196867,0.250000,0.875000,109844
18,0.681678,0.180200,0.375000,0.875000,109844
19,0.619031,0.190619,0.250000,0.875000,109844
20,0.680077,0.201549,0.250000,0.875000,109844
21,0.670821,0.174349,0.375000,0.875000,109844
22,0.568204,0.206863,0.125000,0.875000,109844
23,0.646331,0.198224,0.250000,0.875000,109844
24,0.643451,0.213009,0.250000,0.875000,109844
25,0.605469,0.193132,0.250000,0.875000,109844
26,0.646609,0.201123,0.250000,0.875000,109844
27,0.638614,0.181374,0.250000,0.875000,109844
28,0.688413,0.204670,0.250000,0.875000,109844
29,0.625983,0.196477,0.250000,0.875000,109844
30,0.637237,0.186131,0.250000,0.875000,109844
31,0.671131,0.185126,0.250000,0.875000,109844
32,0.700701,0.186782,0.375000,0.875000,109844
33,0.663088,0.167221,0.375000,0.875000,109844
34,0.592792,0.183834,0.250000,0.875000,109844
35,0.610927,0.191194,0.250000,0.875000,109844
36,0.649323,0.179149,0.250000,0.875000,109844
37,0.706464,0.153677,0.375000,0.875000,109844
38,0.706196,0.169064,0.375000,0.875000,109844
39,0.730724,0.154828,0.500000,0.875000,109844
40,0.795813,0.165781,0.375000,1.000000,109844
41,0.697612,0.185346,0.250000,0.875000,109844
42,0.784144,0.185012,0.375000,1.000000,109844
43,0.774135,0.181315,0.375000,1.000000,109844
44,0.808078,0.156483,0.500000,1.000000,109844
45,0.789899,0.179968,0.375000,1.000000,109844
46,0.801831,0.186566,0.375000,1.000000,109844
47,0.867868,0.188022,0.375000,1.000000,109844
